scene no,scene dialogue,chap no,chap dialogue,scene,chapter
1,"Oh, you don't know when to quit, do ya? ",2,"Oh, you don't know when to quit, do you? ",,
1,"I want you to remember this moment-- the next time you think you will ever be anything more than just a stupid, carrot farming dumb bunny. ",2,"anytime you think you'll ever be anything more than just a stupid, carrot-farming dumb bunny.",,
1,That looks bad. ,9,That's it? ,,
1,"Are you okay, Judy? ",2,"Are you okay, Judy? ",,
1,"Yeah... Yeah, I'm okay. ",3,"Yeah. Scared, too, ",,
1,Here you go. ,2,Here you go! ,,
1,Wow! You got our tickets! ,2,Wicked! You got our tickets! ,,
1,"You're awesome, Judy! ",2,"You're awesome, Judy! ",,
1,Yeah! That Gideon Grey doesn't know what he's talkin' `bout. ,2,"That Gideon Grey doesn't know what he's talking about, ",,
1,"Well, he was right about one thing... ",12,"Well, I was hoping you could—",,
1,I don't know when to quit. ,21,I don't understand.,,
1,8. ,12,"T, ",,
======,Scene 1 is aligned with chapter 2,===========,=============,1,2
2,"Listen up Cadets! Zootopia has 12 unique ecosystems within its city limits-- Tundra Town, Sahara Square, Rainforest District, to name a few. You're gonna have to master all of them before you hit the streets-- or guess what? (to Hopps) You'll be dead! ",9,"Insubordination￼. Now, I'm going to open this door, and you are going to tell that otter you're a former meter maid with delusions of grandeur￼ who will not be taking the case.",,
2,"Scorching sandstorm. You're dead, bunny bumpkin! ",1,"There's never been a bunny cop, ",,
2,"1000 foot fall. You're dead, carrot face! ",19,"Quit it, Gary. You're gonna start a howl.",,
2,"Frigid ice wall. You're dead, farm girl! ",19,"Quit it, Gary. You're gonna start a howl.",,
2,E-normous criminal. ,8,Glorious day! ,,
2,You're dead! ,9,You're fired.,,
2,Dead! / Dead! / Dead! ,8,Dad. Dad! ,,
2,"Filthy toilet. You're dead, fluff butt! ",8,That's right. You get some rest! ,,
2,"Just quit and go home, fuzzy bunny! ",9,"Bless you, bless you, little bunny! ",,
2,There's never been a bunny cop. ,1,"There's never been a bunny cop, ",,
2,Never. ,1,"Nope, ",,
2,Never. ,1,"Nope, ",,
2,"Just a stupid, carrot farming dumb bunny. ",7,I am not a dumb bunny.,,
2,10. ,2,Ow! ,,
======,Scene 2 is aligned with chapter 1,===========,=============,2,1
3,"As Mayor of Zootopia, I am proud to announce that my Mammal Inclusion Initiative has produced its first police academy graduate. ",5,"So I can handle one. You probably forgot, but I was top of my class at the academy.",,
3,"Valedictorian of her class, ZPD's very first rabbit officer... Judy Hopps. ",3,"It's a real proud day for us little guys, ",,
3,(clearing his throat) Assistant Mayor Bellwether? Her badge. ,18,"Assistant Mayor Bellwether, ",,
3,Oh! Yes right. ,3,"Oh! Yes. Right, ",,
3,Thank you. ,17,"Thank you, ",,
3,"Judy, it is my great privilege to officially assign you to the heart of Zootopia: Precinct One, City Center. ",3,"Judy, it is my great privilege￼ to officially assign you to the heart of Zootopia: Precinct One, City Center, ",,
3,"Congratulations, Officer Hopps. ",3,"Congratulations, Officer Hopps.",,
3,I won't let you down. This has been my dream since I was a kid. ,3,"I won't let you down. This has been my dream since I was a kid, ",,
3,"Ya know, it's a... It's a real proud day for us little guys. ",3,"It's a real proud day for us little guys, ",,
3,"Bellwether, make room will ya? Come on. ",3,"Bellwether, make room, will you? ",,
3,"Okay, Officer Hopps. Let's see those teeth! ",3,"All right, Officer Hopps. Let's see those teeth! ",,
======,Scene 3 is aligned with chapter 3,===========,=============,3,3
4,"We're real proud of you, Judy. ",3,"We're real proud of you, Judy, ",,
4,"Yeah. Scared, too. ",3,"Yeah. Scared, too, ",,
4,Yes. ,14,Yes! ,,
4,"Really, it's kind of a proud-scared combo. I mean, Zootopia. It's so far a away... It's such a big city. ",3,"Really, it's a proud-scared combo￼. I mean, Zootopia. It's so far away and such a big city.",,
4,Guys-- I've been working for this my whole life. ,3,"Guys, I've been working for this my whole life, ",,
4,"We know. And we're just a little excited for you, but terrified. ",3,"And we're just a little excited for you, but terrified.",,
4,The only thing we have to fear is fear itself. ,10,Then we'll have to do this the hard way.,,
4,"And also bears. We have bears to fear, too. To say nothing of lions, and wolves... ",3,"We have bears to fear, too. To say nothing of lions, wolves…",,
4,Wolves? ,3,Wolves? ,,
4,...weasels... ,3,"… weasels…, ",,
4,You play cribbage with a weasel. ,3,"You play cribbage with a weasel, ",,
4,"And he cheats like there's no tomorrow. You know what, pretty much all predators-- and Zootopia's full of `em. ",3,And he cheats like there's no tomorrow￼. Pretty much all predators do—and Zootopia's full of 'em. And foxes are the worst.,,
4,"(scolding) Oh, Stu. ",5,Parking duty? ,,
4,And foxes are the worst. ,3,"And also bears, ",,
4,"(retreating) Actually, your father does have a point there. It's in their biology. Remember what happened with Gideon Grey. ",3,It's in their biology. Remember what happened with Gideon Grey? ,,
4,"When I was 9. Gideon Grey was a jerk, who happened to be a fox. I know plenty of bunnies who are jerks. ",3,Gideon Grey was a jerk who happened to be a fox. I know plenty of bunnies who are jerks.,,
4,"Sure. Yeah, we all do. Absolutely. But just in case, we made you a little care package to take with you. ",3,"But just in case, we made you a little care package to take with you.",,
4,And I put some snacks in there. ,3,"And I put some snacks in there, ",,
4,This is fox deterrent. ,3,"This is fox deterrent￼ …, ",,
4,Yeah that's safe to have there. ,3,"Yeah, that's safe to have, ",,
4,This is fox repellent... ,3,"This is fox repellent￼, ",,
4,"Okay, the deterrent and the repellent. That's all she needs. ",3,"The deterrent and the repellent. That's all she needs, ",,
4,Check this out! ,3,Check this out! ,,
4,"Oh for goodness sake. She has no need for a fox taser, Stu. ",3,"Oh, for goodness' sake! She has no need for a fox Taser, Stu.",,
4,Oh c'mon. When is there not a need for a fox taser? ,3,Come on. When is there not a need for a fox Taser? ,,
4,"Okay, look-- I will take this to make you stop talking. ",3,"Okay, I will take this to make you stop talking, ",,
4,Terrific! Everyone wins! ,3,Terrific! Everyone wins! ,,
4,Arriving-- Zootopia Express! ,3,Arriving! Zootopia express￼! ,,
4,OK. Gotta go. Bye! ,3,Okay. Gotta go. Bye! ,,
4,I love you guys. ,3,"I love you guys, ",,
4,"Love you, too! ",3,"Love you, too! ",,
4,"Oh cripes, here come the waterworks. ",3,"Cripes, here come the waterworks￼, ",,
4,"Oh Stu, pull it together. ",3,"Oh, Stu, pull it together, ",,
4,Bye everybody! ,3,"Bye, everybody! Bye! ",,
4,"Bye, Judy! I love you! ",4,I love it! ,,
4,Bye! ,2,Ow! ,,
4,Bye! ,2,Ow! ,,
======,Scene 4 is aligned with chapter 3,===========,=============,4,3
7,I am Gazelle. Welcome to Zootopia! ,9,"I am a real cop, ",,
======,Scene 7 is aligned with chapter 9,===========,=============,7,9
8,"And welcome to the Grand Pangolin Arms. ""Luxury Apartments with Charm."" ",4,"Welcome to the Grand Pangolin Arms, ",,
8,Complimentary de-lousing once a month. (handing over the keys) Don't lose your key. ,4,Complimentary￼ delousing once a month. Don't lose your key.,,
8,Thank you! ,17,"Thank you, ",,
8,"Oh hi, I'm Judy! Your new neighbor! ",4,"Oh, hi, I'm Judy. Your new neighbor.",,
8,Yeah? Well we're loud. ,4,"Yeah, well, we're loud, ",,
8,Don't expect us to apologize for it. ,4,"Don't expect us to apologize for it, ",,
8,Greasy walls... rickety bed... ,4,"Greasy walls… rickety bed…, ",,
8,Shut up! ,4,Shut up! ,,
8,You shut up! ,4,You shut up! ,,
8,No! You shut up! ,4,No! You shut up! ,,
8,Crazy neighbors... (big smile as she flops on the bed) I love it! ,1,I guess I'll have to be the first one! ,,
======,Scene 8 is aligned with chapter 4,===========,=============,8,4
9,C'mon! He bared his teeth first. ,13,Raymond! And is that Kevin? ,,
9,Scuse me! Down here? Hi. ,5,Down here. Down. Here. Hi.,,
9,O-M goodness! They really did hire a bunny. What?! ,1,"There's never been a bunny cop, ",,
9,17. ,2,Ow! ,,
9,"I gotta tell ya, you are even cuter than I thought you'd be. ",3,"Actually, your father does have a point there, ",,
9,"(a little wince) Ooo, uh, you probably didn't know, but a bunny can call another bunny ""cute,"" but when other animals do it, it's a little... ",5,"Oh, uh, I'm sure you didn't know, but for us rabbits… the word ‘cute' is a—it's a little—",,
9,"(gasps, realizing) I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping you...? ",5,"Oh! I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping￼ you…, ",,
9,"It's okay-- oh, you've actually you've actually got a-- there's a-- in your neck-- the fold-- the-- there's-- ",5,"It's okay. Oh, um, actually you've—actually—",,
9,"Oh, there you went, you little dickens! ",5,"There you went, you little dickens! ",,
9,"(awkwardly laughing) I should get to roll call, so... which way do I? ",5,"I should get to roll call, so… which way do I…? ",,
9,Oh! Bullpen's over there to the left. ,5,Bullpen's over there to the left.,,
9,"Great, thank you! ",5,"Great, thank you! ",,
9,"(to himself, wistful) Aw... That poor little bunny's gonna get eaten alive. ",5,"Aw… that poor little bunny's gonna get eaten alive, ",,
======,Scene 9 is aligned with chapter 5,===========,=============,9,5
10,Hey. Officer Hopps. You ready to make the world a better place? ,5,You ready to make the world a better place? ,,
10,TEN HUT! ,5,TEN-HUT! ,,
10,"All right, all right. Everybody sit. ",5,"All right, all right. Everybody sit, ",,
10,"I've got three items on the docket. First... we need to acknowledge the elephant in the room. (nods to ELEPHANT) Francine, happy birthday. ",5,"I've got three items on the docket. First, we need to acknowledge the elephant in the room.",,
10,"Number two: There are some new recruits with us I should introduce. But I'm not going to, because I don't care. Finally... ",5,"Number two:there are some new recruits￼ with us I should introduce. But I'm not going to, because I don't care.",,
10,"...We have 14 missing mammal cases. All predators, from a giant polar bear, to a teensy little otter. And City Hall is right up my tail to find them. This is priority number one. Assignments! ",5,"FOURTEEN CASES. Now, that's more than we've ever had, and City Hall is right up my tail to solve them. This is priority￼ one. Assignments! ",,
10,"Officers Grizzoli, Fangmeyer, Delgato-- your teams take Missing Mammals from the Rainforest District. Officers McHorn, Rhinowitz, Wolfard, your teams take Sahara Square. Officers Higgins, Snarlov, Trunkaby: Tundratown. And finally, our first bunny, Officer Hopps. ",5,"Officers Grizzoli, Fangmeyer, Delgato:your teams take missing mammals from the Rainforest District. Officers McHorn, Rhinowitz, Wolfard: your teams take Sahara Square. Officers Higgins, Snarlov, Trunkaby:Tundratown. And finally, our first bunny, Officer Hopps.",,
10,Parking Duty. Dismissed! ,5,Parking duty. Dismissed! ,,
10,"Parking duty? (runs after Bogo) Uh, Chief? Chief Bogo? ",5,"Uh, Chief? Chief Bogo? ",,
10,"Sir, you said there were 14 missing mammal cases? ",5,"Sir, you said there are fourteen missing mammal cases.",,
10,So. ,5,So? ,,
10,"So I can handle one. You probably forgot, but I was top of my class at the academy. ",5,"So I can handle one. You probably forgot, but I was top of my class at the academy.",,
10,Didn't forget. Just don't care. ,5,Didn't forget. Just don't care.,,
10,"Sir, I'm not just some ""token"" bunny. ",5,"Sir, I'm not just some token￼ bunny.",,
10,"Well, then writing a hundred tickets a day should be easy. ",5,"Well, then writing a hundred tickets a day should be easy, ",,
10,100 tickets...? I'm not gonna write 100 tickets... I'm gonna write 200 tickets! ,1,Today I can hunt for tax exemptions￼. I'm gonna be an actuary￼! ,,
10,20. ,2,Ow! ,,
10,"(then, to the closed door) Before noon! ",6,"Boom! Two hundred tickets before noon, ",,
======,Scene 10 is aligned with chapter 5,===========,=============,10,5
11,Boom! 200 tickets before noon. ,6,"Boom! Two hundred tickets before noon, ",,
11,201. ,2,Ow! ,,
11,"Hey, watch where you're going, Fox! ",6,"Watch where you're going, fox! ",,
11,(sotto) Where'd he go... ,18,Wait. Where'd they go? ,,
======,Scene 11 is aligned with chapter 6,===========,=============,11,6
12,"Listen, I don't know what you're doing skulking around during daylight hours, but I don't want any trouble in here... So hit the road. ",6,"Listen, I don't know what you're doing skulking￼ around during daylight hours, but I don't want any trouble here. So hit the road￼! ",,
12,"I'm not looking for any trouble either, sir. I simply want to buy a Jumbo Pop for my little boy. ",6,"I'm not looking for any trouble either, sir, I simply want to buy a Jumbo-pop￼, ",,
12,"(to the boy) You want the red or the blue, pal? ",6,"for my little boy. You want the red or the blue, pal? ",,
12,(disgusted with herself) I'm such a... ,13,"You wasted the day on purpose, ",,
12,"Oh come on, kid. Back up. Listen, buddy, what? There aren't any fox ice cream joints in your part of town? ",6,"Listen, buddy. There aren't any fox ice cream joints in your part of town? ",,
12,"Uh, no no, there are. There are. It's just, my boy-- (tousles boy's hair) --this goofy little stinker-- he loves all things elephant. Wants to be one when he grows up. ",25,"Yeah, I know they're fast. I can hit him. Listen, I hit a tiny little otter through the open window of a moving car, ",,
12,"Isn't it adorable? Who the heck am I to crush his little dreams, huh? Right? ",3,"It's a real proud day for us little guys, ",,
12,"Look, you probably can't read, fox but the sign says... ",6,"Look, you probably can't read, fox, but the sign says",,
12,22. ,2,Ow! ,,
12,"(slowly reads SIGN, belittling) ",23,Isn't that interesting? ,,
12,SERVICE TO ANYONE. So beat it. ,20,I had to do it! ,,
12,You're holding up the line. ,6,"You're holding up the line, ",,
12,Hello? Excuse me? ,6,Hello? Excuse me? ,,
12,"Hey, you're gonna have to wait your turn like everyone else, metermaid. ",6,"You're gonna have to wait your turn like everyone else, meter maid, ",,
12,Actually... (revealing badge) I'm an officer. Just had a quick question. Are your customers aware they're getting snot and mucous with their cookies and cream? ,6,Actually… I'm an officer. Just had a quick question. Are your customers aware that they're getting snot￼ and mucous￼ with their cookies and cream? ,,
12,What are you talkin' about? ,6,What are you talking about? ,,
12,"Well, I don't wanna cause you any trouble, but I believe scooping ice cream with an un-gloved trunk is a Class 3 Health Code Violation... ",6,"Well, I just wanna say, you're a great dad and just a… a real articulate fellow.",,
12,"...Which is kind of a big deal. Of course-- I could let you off with a warning if you were to glove those trunks and, I don't know, finish selling this nice dad and his son a... what was it? ",11,"Well, I had a ball. You are welcome for the clue. And seeing as how any moron￼ can run a plate, I'll take that pen and bid you adieu.",,
12,A Jumbo Pop. Please. ,6,"A Jumbo-pop, ",,
12,A Jumbo Pop. ,6,"A Jumbo-pop, ",,
12,"(stews for a beat, then) Fifteen dollars. ",5,"There you went, you little dickens! ",,
12,"Thank you so much. (to Hopps) Thank you. (then, digs for wallet) Oh no, are you kidding me? I don't have my wallet. I'd lose my head if it weren't attached to my neck, that's the truth. Oh boy, I'm sorry pal. Gotta be about the worst birthday ever. Please don't be mad at me. (kisses him, to Hopps) Thanks, anyway. ",17,"Here's the thing, Chief. You gave her forty-eight hours, so technically we still have ten left to find our Mr. Otterton… and that's exactly what we are gonna do. So if you'll excuse us… we have a very big lead￼ to follow and a case to crack. Good day.",,
12,Keep the change. ,6,"Keep the change, ",,
======,Scene 12 is aligned with chapter 6,===========,=============,12,6
13,"Officer, I can't thank you enough. So kind, really, can I pay you back? ",6,"Officer, I can't thank you enough, ",,
13,"Oh no, my treat-- it just-- y'know, it burns me up to see folks with such backward attitudes toward foxes. I just wanna say, you're a great dad and just a... a real articulate fella. ",6,"Oh no, my treat. It just—you know, it burns me up￼ to see folks with such backward attitudes toward foxes, ",,
13,"Ah, well, that is high praise. It's rare that I find someone so non- patronizing... Officer... ",6,"Ah, well, that is high praise. It's rare that I find someone so non-patronizing… Officer…",,
13,(totally misses his dig) Hopps. Mr... ,9,One missing otter! ,,
13,Wilde. Nick Wilde. ,6,Wilde. Nick Wilde.,,
13,"(to Toddler) And you little guy, you want to be an elephant when you grow up... you be an elephant-- because this is Zootopia, anyone can be anything. ",6,"And you, little guy, you want to be an elephant when you grow up… you be an elephant—because this is Zootopia, and anyone can be anything.",,
13,"Ah, boy, I tell him that all the time. All right here ya go-- (hands him popsicle) Two paws. Yeah. Oh, look at that smile, that's a happy birthday smile! All right, give her a little bye-bye toot toot. ",6,"Two paws. Yeah. Aw, look at that smile, that's a happy birthday smile! Give her a little bye-bye toot-toot.",,
13,"Toot, toot! ",6,Toot-toot! ,,
13,Bye now! ,9,Not now! ,,
13,Goodbye! ,9,"Good one, ",,
======,Scene 13 is aligned with chapter 6,===========,=============,13,6
14,"Oh! Hey, little toot toot-- ",7,"Oh! Hey, little toot-toot! ",,
======,Scene 14 is aligned with chapter 7,===========,=============,14,7
16,Pawpsicles! Get your pawpsicles! ,7,Pawpsicles! Get your pawpsicles! ,,
======,Scene 16 is aligned with chapter 7,===========,=============,16,7
17,Lumber delivery! ,7,Lumber delivery! ,,
17,What's with the color? ,7,What's with the color? ,,
17,The color? Uh... It's redwood. ,7,"The color? It's red wood, ",,
======,Scene 17 is aligned with chapter 7,===========,=============,17,7
18,"39...40. There you go. Way to work that diaper, big guy. Hey, no kiss bye-bye for daddy? ",7,"Thirty-nine… forty. There you go. Way to work that diaper￼, big guy. What, no kiss bye-bye for Daddy? ",,
18,"(super-deep voice) You kiss me tomorrow, I'll bite your face off. Ciao. ",7,"You kiss me tomorrow, I'll bite your face off, ",,
18,"Well. I stood up for you, and you lied to me. You liar! ",7,I stood up for you. And you lied to me! You liar! ,,
18,"It's called a hustle, sweetheart. And I'm not the liar, he is. ",26,"It's called a hustle, sweetheart, ",,
18,Hey! ,2,Hey! ,,
18,"Alright, slick Nick, you're under arrest. ",7,"All right, slick Nick, you're under arrest.",,
18,"Really, for what? ",7,"Really, for what? ",,
18,"Gee I don't know, how `bout selling food without a permit, transporting undeclared commerce across borough lines, false advertising... ",7,"Gee, I don't know. How about selling food without a permit, transporting undeclared￼ commerce￼ across borough lines, false advertising—",,
18,Permit. Receipt of declared commerce. And I didn't falsely advertise anything. Take care. ,7,And I did not falsely advertise anything. Take care.,,
18,You told that mouse the popsicle sticks were redwood! ,7,"You told that mouse the pawpsicle sticks were redwood, ",,
18,"That's right. ""Red wood."" With a space in the middle. Wood that is red. (then) You can't touch me, Carrots, I been doing this since I was born. ",7,"Red. Wood. With a space in the middle. Wood that is red. You can't touch me, Carrots. I've been doing this since I was born.",,
18,You're gonna wanna refrain from calling me Carrots... ,7,You're gonna want to refrain from calling me Carrots.,,
18,"My bad. I just naturally assumed you came from some little carrot- choked podunk, no? ",7,"I just naturally assumed you came from some little carrot-choked Podunk, no? ",,
18,"(isn't it obvious?) Ah, no. Podunk is in Deerbrooke County, and I grew up in Bunnyburrow. ",7,Podunk is in Deerbrooke County. I grew up in Bunnyburrow.,,
18,"Okay. Tell me if this story sounds familiar: (harsher now, rapidly) Naأ¯ve little hick with good grades and big ideas decides, ""Hey lookit me, I'm gonna move to Zootopia-- where Predators and Prey live in harmony and sing Kumbaya!"" Only to find-- whoopsie, we don't all get along. And that dream of becoming a big city cop? Double whoopsie! She's a meter maid. And whoopsie number threesie-- NO ONE cares about her or her dreams. And soon enough those dreams die and our bunny sinks into emotional and literal squalor living in a box under a bridge. Til finally she has no choice but to go back home with that cute, fuzzy wuzzy little tail between her legs to become-- you're from Bunnyburrow, is that what you said?-- so how `bout a carrot farmer... That sound about right? ",27,"When I was a kid, I thought Zootopia was this perfect place where everyone got along and anyone could be anything… Turns out, real life's a little bit more complicated than a slogan on a bumper sticker￼. Real life is messy. We all have limitations. We all make mistakes, which means… hey, glass half full! We all have a lot in common. And the more we try to understand one another, the more exceptional￼ each of us will be. But we have to try. No matter what type of animal you are, from the biggest elephant to our first fox, I implore￼ you: Try. Try to make a difference. Try to make the world better. Try to look inside yourself and recognize that change starts with you. It starts with me. It starts with all of us.",,
18,"Be careful now, it won't just be your dreams getting crushed. ",7,Or it won't just be your dreams getting crushed.,,
18,(ever-so-slightly rattled) Hey! Hey! No one tells me what I can or can't be! Especially not some jerk who never had the guts to try to be anything more than a popsicle hustler! ,7,No one tells me what I can or can't be! Especially not some jerk who never had the guts to try and be anything more than a pawpsicle hustler.,,
18,"Alright look, everyone comes to Zootopia thinking they can be anything they want. Well you can't. You can only be what you are. (points to himself) Sly fox. ",7,"All right, look, everyone comes to Zootopia thinking they can be anything they want. Well, you can't. You can only be what you are.",,
18,28. ,2,Ow! ,,
18,(points to her) Dumb bunny. ,7,I am not a dumb bunny.,,
18,I am NOT a dumb bunny. ,7,I am not a dumb bunny.,,
18,Right. And that's not wet cement. ,7,Right. And that's not wet cement.,,
18,(as he goes) You'll never be a real cop. You're a cute meter maid though. Maybe a supervisor one day. Hang in there... ,7,"You're a cute meter maid, though. Maybe a supervisor one day. Hang in there.",,
======,Scene 18 is aligned with chapter 7,===========,=============,18,7
19,"Oh hey, it's my parents! ",8,"Oh, hey! It's my parents…, ",,
19,Aw there she is! Hi sweetheart! ,8,"Hi, sweetheart! ",,
19,"Hey there, Jude the Dude! How was your first day on the force? ",8,"Hey there, Jude the Dude! How was your first day on the force? ",,
19,It was real great. ,8,"It was real great, ",,
19,Yeah? Everything you ever hoped? ,8,Yeah? Everything you ever hoped? ,,
19,Mmm. Absolutely. And more. Everyone's so nice. And I feel like I'm really making a difference-- ,8,"Absolutely, and more! Everyone's so nice. And I feel like I'm really making a difference—",,
19,"(pops head into frame) Hey, wait a second. Holy cripes, Bonnie! Look at that! ",8,"Holy cripes, Bonnie! Look at that! ",,
19,"(a discovery) Oh my sweet heaven-- Judy, are you a meter maid? ",8,"Oh my sweet heaven! Judy, are you a meter maid? ",,
19,"(panicked) Oh this? No! Oh, no no! This is just a temporary thing-- ",8,"What? Oh, this? No. It's just a temporary—",,
19,It's the safest job on the force! ,8,It's the safest job on the force! ,,
19,"Ah, she's not a real cop! Our prayers have been answered! ",8,She's not a real cop! Our prayers have been answered! ,,
19,Glorious day! ,8,Glorious day! ,,
19,"Meter maid, meter maid! ",10,"What happened, meter maid? ",,
19,Dad! Dad-- ,8,Dad. Dad! ,,
19,"Meter maid, meter maid! ",10,"What happened, meter maid? ",,
19,"DAD! You know what-- it's been a really long day, I should really-- ",20,You know what I mean. You're not that kind of predator.,,
19,That's right. You get some rest! ,8,That's right. You get some rest! ,,
19,Those meters aren't gonna maid themselves. ,8,"Absolutely. Those meters aren't gonna maid￼ themselves, ",,
19,Bye bye! ,2,Hey! ,,
19,(eye roll) Buh-bye. ,2,Here you go! ,,
19,Hey Bunny! Turn down that depressing music! ,8,"Hey, bunny! Turn down that depressing music! ",,
19,Leave the meter maid alone! Didn't you hear her conversation? She feels like a failure! ,8,Didn't you hear her conversation? She feels like a failure! ,,
19,"Oh, shut up! ",4,You shut up! ,,
19,You shut up! ,4,You shut up! ,,
19,You shut up! ,4,You shut up! ,,
