,index,type,title,text,chars,scene,text_in_book,score,chapter,vote_chapter,vote_percentage
50,75,dialog,YOUNG JUDY,"You don't scare me, Gideon. ",{},1,"You don't scare me, Gideon, ",0.99419874,12,12,0.4897959183673469
51,77,dialog,GIDEON GREY,You scared now? ,{},1,You scared now? ,1.0,12,12,0.4897959183673469
52,79,dialog,TRAVIS THE WOLF HENCHMAN KID,Lookit her nose twitch. She is scared! ,{},1,"Look at her nose twitch, ",0.8539004,12,12,0.4897959183673469
53,80,dialog,GIDEON GREY,"Cry little baby bunny. Cry, cry -- ",{},1,"Cry, little baby bunny. Cry, cry—",0.9592793,12,12,0.4897959183673469
54,82,dialog,GIDEON GREY,"Oh, you don't know when to quit, do ya? ",{},1,"Oh, you don't know when to quit, do you? ",0.985704,12,12,0.4897959183673469
55,84,dialog,GIDEON GREY,"I want you to remember this moment-- the next time you think you will ever be anything more than just a stupid, carrot farming dumb bunny. ",{},1,"anytime you think you'll ever be anything more than just a stupid, carrot-farming dumb bunny.",0.8606661,12,12,0.4897959183673469
56,86,dialog,GARETH THE DOUBTING SHEEP BOY,That looks bad. ,{},1,"Aw jeez, that looks bad, ",0.5828771,12,12,0.4897959183673469
57,87,dialog,SHARLA,"Are you okay, Judy? ",{},1,"Are you okay, Judy? ",1.0,12,12,0.4897959183673469
58,88,dialog,YOUNG JUDY,"Yeah... Yeah, I'm okay. ",{},1,I'm fine.,0.65658736,15,12,0.4897959183673469
59,90,dialog,YOUNG JUDY,Here you go. ,{},1,Here you go! ,0.86737466,12,12,0.4897959183673469
60,91,dialog,SHARLA,Wow! You got our tickets! ,{},1,Wicked! You got our tickets! ,0.7065174,12,12,0.4897959183673469
61,92,dialog,GARETH THE DOUBTING SHEEP BOY,"You're awesome, Judy! ",{},1,"You're awesome, Judy! ",1.0000001,12,12,0.4897959183673469
62,93,dialog,SHARLA,Yeah! That Gideon Grey doesn't know what he's talkin' `bout. ,{},1,"That Gideon Grey doesn't know what he's talking about, ",0.9156013,12,12,0.4897959183673469
63,94,dialog,YOUNG JUDY,"Well, he was right about one thing... ",{},1,"He was right here, ",0.46642172,9,12,0.4897959183673469
64,96,dialog,YOUNG JUDY,I don't know when to quit. ,{},1,"Oh, you don't know when to quit, do you? ",0.88295895,12,12,0.4897959183673469
65,97,dialog,CUT TO:,8. ,{},1,Two… nine… ,0.6072185,4,12,0.4897959183673469
66,99,dialog,MAJOR FRIEDKIN,"Listen up Cadets! Zootopia has 12 unique ecosystems within its city limits-- Tundra Town, Sahara Square, Rainforest District, to name a few. You're gonna have to master all of them before you hit the streets-- or guess what? (to Hopps) You'll be dead! ",{},2,"You're the assistant mayor of Zootopia, ",0.59311086,10,11,0.21428571428571427
67,101,dialog,MAJOR FRIEDKIN,"Scorching sandstorm. You're dead, bunny bumpkin! ",{},2,You! Bunny! ,0.5058841,28,11,0.21428571428571427
68,103,dialog,MAJOR FRIEDKIN,"1000 foot fall. You're dead, carrot face! ",{},2,You're gonna want to refrain from calling me Carrots.,0.53904176,26,11,0.21428571428571427
69,105,dialog,MAJOR FRIEDKIN,"Frigid ice wall. You're dead, farm girl! ",{},2,"Ice 'im, ",0.4872249,17,11,0.21428571428571427
70,107,dialog,MAJOR FRIEDKIN,E-normous criminal. ,{},2,"Junior Detective. You know, I think you'd actually make a pretty good cop.",0.42246044,10,11,0.21428571428571427
71,109,dialog,MAJOR FRIEDKIN,You're dead! ,{},2,"Great, we're dead. That's it. I'm dead. You're dead. Everybody's dead, ",0.56888205,11,11,0.21428571428571427
72,110,dialog,MAJOR FRIEDKIN,Dead! / Dead! / Dead! ,{},2,"Great, we're dead. That's it. I'm dead. You're dead. Everybody's dead, ",0.51145756,11,11,0.21428571428571427
73,112,dialog,MAJOR FRIEDKIN,"Filthy toilet. You're dead, fluff butt! ",{},2,"Great, we're dead. That's it. I'm dead. You're dead. Everybody's dead, ",0.42158324,11,11,0.21428571428571427
74,114,dialog,MAJOR FRIEDKIN,"Just quit and go home, fuzzy bunny! ",{},2,I really am just a dumb bunny. I really am just a dumb bunny.,0.60371745,16,11,0.21428571428571427
75,116,dialog,STU HOPPS,There's never been a bunny cop. ,{},2,"There's never been a bunny cop, ",0.9946923,1,11,0.21428571428571427
76,117,dialog,BONNIE HOPPS,Never. ,{},2,No.,0.43318093,5,11,0.21428571428571427
77,118,dialog,STU HOPPS,Never. ,{},2,No.,0.43318093,5,11,0.21428571428571427
78,120,dialog,GIDEON GREY,"Just a stupid, carrot farming dumb bunny. ",{},2,"anytime you think you'll ever be anything more than just a stupid, carrot-farming dumb bunny.",0.8070122,12,11,0.21428571428571427
79,123,dialog,IN THE RING:,10. ,{},2,Two… nine… ,0.64772195,4,11,0.21428571428571427
80,126,dialog,LIONHEART,"As Mayor of Zootopia, I am proud to announce that my Mammal Inclusion Initiative has produced its first police academy graduate. ",{'bellwether': 3},3,"As mayor of Zootopia, I am proud to announce that my Mammal Inclusion Initiative has produced its first police academy graduate.The valedictorian￼ of her class… ZPD's￼ very first rabbit police officer, Judy Hopps. Assistant Mayor Bellwether, her badge? ",0.8613806,22,22,0.6363636363636364
81,128,dialog,LIONHEART,"Valedictorian of her class, ZPD's very first rabbit officer... Judy Hopps. ",{'bellwether': 3},3,"Officer Judy Hopps, ",0.7554366,4,22,0.6363636363636364
82,130,dialog,LIONHEART,(clearing his throat) Assistant Mayor Bellwether? Her badge. ,{'bellwether': 3},3,"Assistant Mayor Bellwether, ",0.75153214,10,22,0.6363636363636364
83,131,dialog,BELLWETHER,Oh! Yes right. ,{'bellwether': 3},3,"Oh! Yes. Right, ",0.8601817,22,22,0.6363636363636364
84,132,dialog,LIONHEART,Thank you. ,{'bellwether': 3},3,"Thank you, ",0.7114743,9,22,0.6363636363636364
85,134,dialog,LIONHEART,"Judy, it is my great privilege to officially assign you to the heart of Zootopia: Precinct One, City Center. ",{'bellwether': 3},3,"You're the assistant mayor of Zootopia, ",0.77387094,10,22,0.6363636363636364
86,136,dialog,BELLWETHER,"Congratulations, Officer Hopps. ",{'bellwether': 3},3,"Congratulations, Officer Hopps.",1.0,22,22,0.6363636363636364
87,137,dialog,JUDY,I won't let you down. This has been my dream since I was a kid. ,{'bellwether': 3},3,"I won't let you down. This has been my dream since I was a kid, ",0.99211866,22,22,0.6363636363636364
88,138,dialog,BELLWETHER,"Ya know, it's a... It's a real proud day for us little guys. ",{'bellwether': 3},3,"It's a real proud day for us little guys, ",0.9193507,22,22,0.6363636363636364
89,139,dialog,LIONHEART,"Bellwether, make room will ya? Come on. ",{'bellwether': 3},3,"Bellwether, make room, will you? ",0.9217964,22,22,0.6363636363636364
90,141,dialog,LIONHEART,"Okay, Officer Hopps. Let's see those teeth! ",{'bellwether': 3},3,"All right, Officer Hopps. Let's see those teeth! ",0.9752991,22,22,0.6363636363636364
91,144,dialog,BONNIE HOPPS,"We're real proud of you, Judy. ",{},4,"We're real proud of you, Judy, ",0.99011856,22,22,0.8648648648648649
92,145,dialog,STU HOPPS,"Yeah. Scared, too. ",{},4,"Yeah. Scared, too, ",0.97006613,22,22,0.8648648648648649
93,146,dialog,BONNIE HOPPS,Yes. ,{},4,Yes.,1.0,13,22,0.8648648648648649
94,147,dialog,STU HOPPS,"Really, it's kind of a proud-scared combo. I mean, Zootopia. It's so far a away... It's such a big city. ",{},4,"Really, it's a proud-scared combo￼. I mean, Zootopia. It's so far away and such a big city.",0.95055246,22,22,0.8648648648648649
95,148,dialog,JUDY,Guys-- I've been working for this my whole life. ,{},4,"Guys, I've been working for this my whole life, ",0.9054961,22,22,0.8648648648648649
96,149,dialog,BONNIE HOPPS,"We know. And we're just a little excited for you, but terrified. ",{},4,"And we're just a little excited for you, but terrified.",0.92912763,22,22,0.8648648648648649
97,150,dialog,JUDY,The only thing we have to fear is fear itself. ,{},4,"Fear always works, ",0.6558365,19,22,0.8648648648648649
98,151,dialog,STU HOPPS,"And also bears. We have bears to fear, too. To say nothing of lions, and wolves... ",{},4,"We have bears to fear, too. To say nothing of lions, wolves…",0.9349426,22,22,0.8648648648648649
99,152,dialog,BONNIE HOPPS,Wolves? ,{},4,Wolves? ,1.0,22,22,0.8648648648648649
100,153,dialog,STU HOPPS,...weasels... ,{},4,"… weasels…, ",0.88636184,22,22,0.8648648648648649
101,154,dialog,BONNIE HOPPS,You play cribbage with a weasel. ,{},4,"You play cribbage with a weasel, ",0.9943777,22,22,0.8648648648648649
102,155,dialog,STU HOPPS,"And he cheats like there's no tomorrow. You know what, pretty much all predators-- and Zootopia's full of `em. ",{},4,And he cheats like there's no tomorrow￼. Pretty much all predators do—and Zootopia's full of 'em. And foxes are the worst.,0.8225195,22,22,0.8648648648648649
103,156,dialog,BONNIE HOPPS,"(scolding) Oh, Stu. ",{},4,"Oh, Stu, pull it together, ",0.5263825,22,22,0.8648648648648649
104,157,dialog,STU HOPPS,And foxes are the worst. ,{},4,And he cheats like there's no tomorrow￼. Pretty much all predators do—and Zootopia's full of 'em. And foxes are the worst.,0.6380393,22,22,0.8648648648648649
105,158,dialog,BONNIE HOPPS,"(retreating) Actually, your father does have a point there. It's in their biology. Remember what happened with Gideon Grey. ",{},4,It's in their biology. Remember what happened with Gideon Grey? ,0.63175917,22,22,0.8648648648648649
106,159,dialog,JUDY,"When I was 9. Gideon Grey was a jerk, who happened to be a fox. I know plenty of bunnies who are jerks. ",{},4,Gideon Grey was a jerk who happened to be a fox. I know plenty of bunnies who are jerks.,0.9445239,22,22,0.8648648648648649
107,160,dialog,STU HOPPS,"Sure. Yeah, we all do. Absolutely. But just in case, we made you a little care package to take with you. ",{},4,"But just in case, we made you a little care package to take with you.",0.73482513,22,22,0.8648648648648649
108,161,dialog,BONNIE HOPPS,And I put some snacks in there. ,{},4,"And I put some snacks in there, ",0.9931712,22,22,0.8648648648648649
109,163,dialog,STU HOPPS,This is fox deterrent. ,{},4,"This is fox deterrent￼ …, ",0.6555127,22,22,0.8648648648648649
110,164,dialog,BONNIE HOPPS,Yeah that's safe to have there. ,{},4,"Yeah, that's safe to have, ",0.7606795,22,22,0.8648648648648649
111,165,dialog,STU HOPPS,This is fox repellent... ,{},4,"The kind that needs to be muzzled? The kind that makes you think you need to carry around fox repellent? Yeah, don't think I didn't notice that little item the first time we met.",0.73854107,13,22,0.8648648648648649
112,166,dialog,BONNIE HOPPS,"Okay, the deterrent and the repellent. That's all she needs. ",{},4,"The deterrent and the repellent. That's all she needs, ",0.9702446,22,22,0.8648648648648649
113,167,dialog,STU HOPPS,Check this out! ,{},4,Check this out! ,1.0000001,22,22,0.8648648648648649
114,169,dialog,BONNIE HOPPS,"Oh for goodness sake. She has no need for a fox taser, Stu. ",{},4,"Oh, for goodness' sake! She has no need for a fox Taser, Stu.",0.9923715,22,22,0.8648648648648649
115,170,dialog,STU HOPPS,Oh c'mon. When is there not a need for a fox taser? ,{},4,Come on. When is there not a need for a fox Taser? ,0.9879131,22,22,0.8648648648648649
116,171,dialog,JUDY,"Okay, look-- I will take this to make you stop talking. ",{},4,"Okay, I will take this to make you stop talking, ",0.88977766,22,22,0.8648648648648649
117,173,dialog,STU HOPPS,Terrific! Everyone wins! ,{},4,Terrific! Everyone wins! ,0.99999994,22,22,0.8648648648648649
118,174,dialog,TRAIN CONDUCTOR,Arriving-- Zootopia Express! ,{},4,Arriving! Zootopia express￼! ,0.8596521,22,22,0.8648648648648649
119,175,dialog,JUDY,OK. Gotta go. Bye! ,{},4,Okay. Gotta go. Bye! ,0.99084735,22,22,0.8648648648648649
120,177,dialog,JUDY,I love you guys. ,{},4,"I love you guys, ",0.92433536,22,22,0.8648648648648649
121,178,dialog,BONNIE HOPPS,"Love you, too! ",{},4,"Love you, too! ",1.0000002,22,22,0.8648648648648649
122,180,dialog,STU HOPPS,"Oh cripes, here come the waterworks. ",{},4,Right. And that's not wet cement.,0.45883948,26,22,0.8648648648648649
123,181,dialog,BONNIE HOPPS,"Oh Stu, pull it together. ",{},4,"Oh, Stu, pull it together, ",0.9479694,22,22,0.8648648648648649
124,182,dialog,JUDY,Bye everybody! ,{},4,"Bye, everybody! Bye! ",0.92371297,22,22,0.8648648648648649
125,183,dialog,COTTON,"Bye, Judy! I love you! ",{},4,"You're awesome, Judy! ",0.7164432,12,22,0.8648648648648649
126,184,dialog,CROWD OF BUNNIES,Bye! ,{},4,"Bye, everybody! Bye! ",0.75698495,22,22,0.8648648648648649
127,186,dialog,JUDY,Bye! ,{},4,"Bye, everybody! Bye! ",0.75698495,22,22,0.8648648648648649
128,193,dialog,GAZELLE,I am Gazelle. Welcome to Zootopia! ,{},7,Arriving! Zootopia express￼! ,0.59986526,22,22,1.0
129,195,dialog,DHARMA ARMADILLO,"And welcome to the Grand Pangolin Arms. ""Luxury Apartments with Charm."" ",{'hopps': 4},8,"Welcome to the Grand Pangolin Arms, ",0.64256734,23,23,0.6363636363636364
130,197,dialog,DHARMA ARMADILLO,Complimentary de-lousing once a month. (handing over the keys) Don't lose your key. ,{'hopps': 4},8,Complimentary￼ delousing once a month. Don't lose your key.,0.7375208,23,23,0.6363636363636364
131,198,dialog,HOPPS,Thank you! ,{'hopps': 4},8,"Thank you, ",0.7047734,9,23,0.6363636363636364
132,200,dialog,HOPPS,"Oh hi, I'm Judy! Your new neighbor! ",{'hopps': 4},8,"Oh, hi, I'm Judy. Your new neighbor.",0.9673015,23,23,0.6363636363636364
133,201,dialog,KUDU POOTOSSER,Yeah? Well we're loud. ,{'hopps': 4},8,"Yeah, well, we're loud, ",0.88522965,23,23,0.6363636363636364
134,202,dialog,ORYX POOTOSSER,Don't expect us to apologize for it. ,{'hopps': 4},8,"Don't expect us to apologize for it, ",0.9760316,23,23,0.6363636363636364
135,204,dialog,HOPPS,Greasy walls... rickety bed... ,{'hopps': 4},8,"Greasy walls… rickety bed…, ",0.9607215,23,23,0.6363636363636364
136,205,dialog,KUDU POOTOSSER,Shut up! ,{'hopps': 4},8,Stop! ,0.6124436,28,23,0.6363636363636364
137,206,dialog,ORYX POOTOSSER,You shut up! ,{'hopps': 4},8,Stop! ,0.62692827,28,23,0.6363636363636364
138,207,dialog,KUDU POOTOSSER,No! You shut up! ,{'hopps': 4},8,All right! Enough! Shut it! ,0.5874548,20,23,0.6363636363636364
139,208,dialog,HOPPS,Crazy neighbors... (big smile as she flops on the bed) I love it! ,{'hopps': 4},8,Crazy neighbors.,0.5748547,23,23,0.6363636363636364
140,212,dialog,LEOPARD,C'mon! He bared his teeth first. ,{'hopps': 5},9,Aaaaaaaaaagh! ,0.38223028,4,24,0.7692307692307693
141,214,dialog,HOPPS,Scuse me! Down here? Hi. ,{'hopps': 5},9,Down here. Down. Here. Hi.,0.65871906,24,24,0.7692307692307693
142,216,dialog,CLAWHAUSER,O-M goodness! They really did hire a bunny. What?! ,{'hopps': 5},9,They really did hire a bunny. What! I gotta tell you; you are even cuter than I thought you'd be.,0.86117965,24,24,0.7692307692307693
143,217,dialog,,17. ,{'hopps': 5},9,Fifteen dollars.,0.54427993,25,24,0.7692307692307693
144,218,dialog,CLAWHAUSER,"I gotta tell ya, you are even cuter than I thought you'd be. ",{'hopps': 5},9,"Don't call me cute, ",0.5661711,2,24,0.7692307692307693
145,219,dialog,HOPPS,"(a little wince) Ooo, uh, you probably didn't know, but a bunny can call another bunny ""cute,"" but when other animals do it, it's a little... ",{'hopps': 5},9,"Oh, uh, I'm sure you didn't know, but for us rabbits… the word ‘cute' is a—it's a little—",0.81164265,24,24,0.7692307692307693
146,220,dialog,CLAWHAUSER,"(gasps, realizing) I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping you...? ",{'hopps': 5},9,"Oh! I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping￼ you…, ",0.8782242,24,24,0.7692307692307693
147,221,dialog,HOPPS,"It's okay-- oh, you've actually you've actually got a-- there's a-- in your neck-- the fold-- the-- there's-- ",{'hopps': 5},9,There's a—in your neck—the fold… there's—,0.8040499,24,24,0.7692307692307693
148,223,dialog,CLAWHAUSER,"Oh, there you went, you little dickens! ",{'hopps': 5},9,"There you went, you little dickens! ",0.9811178,24,24,0.7692307692307693
149,225,dialog,HOPPS,"(awkwardly laughing) I should get to roll call, so... which way do I? ",{'hopps': 5},9,"I should get to roll call, so… which way do I…? ",0.8651324,24,24,0.7692307692307693
150,226,dialog,CLAWHAUSER,Oh! Bullpen's over there to the left. ,{'hopps': 5},9,Bullpen's over there to the left.,0.96991694,24,24,0.7692307692307693
151,227,dialog,HOPPS,"Great, thank you! ",{'hopps': 5},9,"Great, thank you! ",0.99999994,24,24,0.7692307692307693
152,229,dialog,CLAWHAUSER,"(to himself, wistful) Aw... That poor little bunny's gonna get eaten alive. ",{'hopps': 5},9,"Aw… that poor little bunny's gonna get eaten alive, ",0.8771188,24,24,0.7692307692307693
153,231,dialog,HOPPS,Hey. Officer Hopps. You ready to make the world a better place? ,"{'hopps': 7, 'bogo': 9}",10,"Hey. Officer Hopps, ",0.77747583,24,24,0.7777777777777778
154,233,dialog,OFFICER HIGGINS,TEN HUT! ,"{'hopps': 7, 'bogo': 9}",10,TEN-HUT! ,0.9535878,24,24,0.7777777777777778
155,235,dialog,BOGO,"All right, all right. Everybody sit. ","{'hopps': 7, 'bogo': 9}",10,"All right, all right. Everybody sit, ",0.9903514,24,24,0.7777777777777778
156,237,dialog,BOGO,"I've got three items on the docket. First... we need to acknowledge the elephant in the room. (nods to ELEPHANT) Francine, happy birthday. ","{'hopps': 7, 'bogo': 9}",10,"I've got three items on the docket. First, we need to acknowledge the elephant in the room.",0.87183386,24,24,0.7777777777777778
157,239,dialog,BOGO,"Number two: There are some new recruits with us I should introduce. But I'm not going to, because I don't care. Finally... ","{'hopps': 7, 'bogo': 9}",10,"We have some new recruits with us this morning, ",0.61103433,20,24,0.7777777777777778
158,241,dialog,BOGO,"...We have 14 missing mammal cases. All predators, from a giant polar bear, to a teensy little otter. And City Hall is right up my tail to find them. This is priority number one. Assignments! ","{'hopps': 7, 'bogo': 9}",10,"Finally, we have fourteen missing mammal cases, ",0.8175141,24,24,0.7777777777777778
159,243,dialog,BOGO,"Officers Grizzoli, Fangmeyer, Delgato-- your teams take Missing Mammals from the Rainforest District. Officers McHorn, Rhinowitz, Wolfard, your teams take Sahara Square. Officers Higgins, Snarlov, Trunkaby: Tundratown. And finally, our first bunny, Officer Hopps. ","{'hopps': 7, 'bogo': 9}",10,"I am Officer Hopps, ZPD. I am looking for a missing mammal, Emmitt Otterton",0.56947786,3,24,0.7777777777777778
160,245,dialog,BOGO,Parking Duty. Dismissed! ,"{'hopps': 7, 'bogo': 9}",10,Parking duty. Dismissed! ,1.0000001,24,24,0.7777777777777778
161,246,dialog,HOPPS,"Parking duty? (runs after Bogo) Uh, Chief? Chief Bogo? ","{'hopps': 7, 'bogo': 9}",10,"Uh, Chief? Chief Bogo? ",0.8006567,24,24,0.7777777777777778
