scene no,scene dialogue,chap no,chap dialogue,scene,chapter
2,"Listen up Cadets! Zootopia has 12 unique ecosystems within its city limits-- Tundra Town, Sahara Square, Rainforest District, to name a few. You're gonna have to master all of them before you hit the streets-- or guess what? (to Hopps) You'll be dead! ",1,"Fear. Treachery. Bloodlust! Thousands of years ago, these were the forces that ruled our world. A world where prey were scared of predators. And predators had an uncontrollable desire to maim and maul and—",,
2,"Scorching sandstorm. You're dead, bunny bumpkin! ",5,Bullpen's over there to the left.,,
2,"1000 foot fall. You're dead, carrot face! ",5,"There you went, you little dickens! ",,
2,"Frigid ice wall. You're dead, farm girl! ",9,"Hey, meter maid! Wait for the real cops! ",,
2,E-normous criminal. ,20,There's a them now? ,,
2,You're dead! ,9,You're fired.,,
2,Dead! / Dead! / Dead! ,16,Head to the skytrams! ,,
2,"Filthy toilet. You're dead, fluff butt! ",19,"Quit it, Gary. You're gonna start a howl.",,
2,"Just quit and go home, fuzzy bunny! ",9,"Bless you, bless you, little bunny! ",,
2,There's never been a bunny cop. ,1,"There's never been a bunny cop, ",,
2,Never. ,1,"Nope, ",,
2,Never. ,1,"Nope, ",,
2,"Just a stupid, carrot farming dumb bunny. ",8,"Wait a second, ",,
2,10,2,Ow! ,,
======,Scene 2 is aligned with chapter 1,===========,=============,2,1
3,"As Mayor of Zootopia, I am proud to announce that my Mammal Inclusion Initiative has produced its first police academy graduate. ",14,"I trusted you, Nicky. I welcomed you into my home. We broke bread together. Gram-mama made you her cannoli.",,
3,"Valedictorian of her class, ZPD's very first rabbit officer... Judy Hopps. ",8,"Hey there, Jude the Dude! How was your first day on the force? ",,
3,(clearing his throat) Assistant Mayor Bellwether? Her badge. ,11,—03. Wow.This is a lot of great info. Thank you.,,
3,Oh! Yes right. ,3,"Oh! Yes. Right, ",,
3,Thank you. ,17,"Thank you, ",,
3,"Judy, it is my great privilege to officially assign you to the heart of Zootopia: Precinct One, City Center. ",3,"Judy, it is my great privilege￼ to officially assign you to the heart of Zootopia: Precinct One, City Center, ",,
3,"Congratulations, Officer Hopps. ",3,"Congratulations, Officer Hopps.",,
3,I won't let you down. This has been my dream since I was a kid. ,3,"I won't let you down. This has been my dream since I was a kid, ",,
3,"Ya know, it's a... It's a real proud day for us little guys. ",1,"Yeah. I don't have to cower in a herd anymore, ",,
3,"Bellwether, make room will ya? Come on. ",3,"Bellwether, make room, will you? ",,
3,"Okay, Officer Hopps. Let's see those teeth! ",17,"Wait—sir, I'm not the only one who saw him! ",,
======,Scene 3 is aligned with chapter 3,===========,=============,3,3
4,"We're real proud of you, Judy. ",3,"We're real proud of you, Judy, ",,
4,"Yeah. Scared, too. ",3,"Yeah. Scared, too, ",,
4,Yes. ,14,Yes! ,,
4,"Really, it's kind of a proud-scared combo. I mean, Zootopia. It's so far a away... It's such a big city. ",3,"Really, it's a proud-scared combo￼. I mean, Zootopia. It's so far away and such a big city.",,
4,Guys-- I've been working for this my whole life. ,19,Guess he's in no rush to get home to the Mrs.,,
4,"We know. And we're just a little excited for you, but terrified. ",24,"We both know those weren't moldy onions I caught you stealing, ",,
4,The only thing we have to fear is fear itself. ,22,"I know a thing or two about being a jerk, ",,
4,"And also bears. We have bears to fear, too. To say nothing of lions, and wolves... ",3,"And also bears, ",,
4,Wolves? ,3,Wolves? ,,
4,...weasels... ,8,There she is! ,,
4,You play cribbage with a weasel. ,3,"You play cribbage with a weasel, ",,
4,"And he cheats like there's no tomorrow. You know what, pretty much all predators-- and Zootopia's full of `em. ",3,And he cheats like there's no tomorrow￼. Pretty much all predators do—and Zootopia's full of 'em. And foxes are the worst.,,
4,"(scolding) Oh, Stu. ",22,"Four dozen carrots, ",,
4,And foxes are the worst. ,2,"Are you okay, Judy? ",,
4,"(retreating) Actually, your father does have a point there. It's in their biology. Remember what happened with Gideon Grey. ",15,"Absolutely. Whole ride over here we're sitting there going, night howler this, night howler that. Tell him.",,
4,"When I was 9. Gideon Grey was a jerk, who happened to be a fox. I know plenty of bunnies who are jerks. ",17,"One, I was never going to let anyone see that they got to me.",,
4,"Sure. Yeah, we all do. Absolutely. But just in case, we made you a little care package to take with you. ",24,"It's Weaselton! Duke Weaselton. And I ain't talking, rabbit. And ain't nothing you can do to make me.",,
4,And I put some snacks in there. ,3,"And I put some snacks in there, ",,
4,This is fox deterrent. ,3,"This is fox deterrent￼ …, ",,
4,Yeah that's safe to have there. ,3,"And I put some snacks in there, ",,
4,This is fox repellent... ,3,"This is fox repellent￼, ",,
4,"Okay, the deterrent and the repellent. That's all she needs. ",9,"Okay, I just didn't know if you wanted to take it this time—",,
4,Check this out! ,3,Check this out! ,,
4,"Oh for goodness sake. She has no need for a fox taser, Stu. ",8,Didn't you hear her conversation? She feels like a failure! ,,
4,Oh c'mon. When is there not a need for a fox taser? ,5,You ready to make the world a better place? ,,
4,"Okay, look-- I will take this to make you stop talking. ",9,"Yeah, because… What does that mean? ",,
4,Terrific! Everyone wins! ,3,Terrific! Everyone wins! ,,
4,Arriving-- Zootopia Express! ,3,Arriving! Zootopia express￼! ,,
4,OK. Gotta go. Bye! ,9,One missing otter! ,,
4,I love you guys. ,3,"I love you guys, ",,
4,"Love you, too! ",3,"Love you, too! ",,
4,"Oh cripes, here come the waterworks. ",6,"All right, here you go—",,
4,"Oh Stu, pull it together. ",1,"Oh yes, ",,
4,Bye everybody! ,2,She is scared! ,,
4,"Bye, Judy! I love you! ",22,"Hey, Judy, ",,
4,Bye! ,2,Hey! ,,
4,Bye! ,2,Hey! ,,
======,Scene 4 is aligned with chapter 3,===========,=============,4,3
7,I am Gazelle. Welcome to Zootopia! ,9,I am a real cop. I am a real cop…,,
======,Scene 7 is aligned with chapter 9,===========,=============,7,9
8,"And welcome to the Grand Pangolin Arms. ""Luxury Apartments with Charm."" ",20,"All we know is that they're all members of the predator family, ",,
8,Complimentary de-lousing once a month. (handing over the keys) Don't lose your key. ,4,Complimentary￼ delousing once a month. Don't lose your key.,,
8,Thank you! ,17,"Thank you, ",,
8,"Oh hi, I'm Judy! Your new neighbor! ",9,"Bless you, bless you, little bunny! ",,
8,Yeah? Well we're loud. ,4,"Yeah, well, we're loud, ",,
8,Don't expect us to apologize for it. ,4,"Don't expect us to apologize for it, ",,
8,Greasy walls... rickety bed... ,4,"Greasy walls… rickety bed…, ",,
8,Shut up! ,4,Shut up! ,,
8,You shut up! ,4,You shut up! ,,
8,No! You shut up! ,4,No! You shut up! ,,
8,Crazy neighbors... (big smile as she flops on the bed) I love it! ,4,Crazy neighbors.,,
======,Scene 8 is aligned with chapter 4,===========,=============,8,4
9,C'mon! He bared his teeth first. ,15,"Not every cat likes tuna, ",,
9,Scuse me! Down here? Hi. ,25,Trust me! SPEED! UP! ,,
9,O-M goodness! They really did hire a bunny. What?! ,5,O-M goodness! ,,
9,17,2,Ow! ,,
9,"I gotta tell ya, you are even cuter than I thought you'd be. ",16,"Rabbit, whatever you do, do not let go! ",,
9,"(a little wince) Ooo, uh, you probably didn't know, but a bunny can call another bunny ""cute,"" but when other animals do it, it's a little... ",6,"Listen, I don't know what you're doing skulking￼ around during daylight hours, but I don't want any trouble here. So hit the road￼! ",,
9,"(gasps, realizing) I am so sorry. Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop, stereotyping you...? ",6,"Listen, I don't know what you're doing skulking￼ around during daylight hours, but I don't want any trouble here. So hit the road￼! ",,
9,"It's okay-- oh, you've actually you've actually got a-- there's a-- in your neck-- the fold-- the-- there's-- ",15,"Oh. Wow. That's crazy, because that is actually why we came to talk to you… about the night howlers. Right? ",,
9,"Oh, there you went, you little dickens! ",17,You think I'm going to believe a fox? ,,
9,"(awkwardly laughing) I should get to roll call, so... which way do I? ",21,"I came here to make the world a better place, but I think I broke it.",,
9,Oh! Bullpen's over there to the left. ,1,"There's never been a bunny cop, ",,
9,"Great, thank you! ",5,"Great, thank you! ",,
9,"(to himself, wistful) Aw... That poor little bunny's gonna get eaten alive. ",9,"You find my Emmitt and bring him home to me and my babies, please.",,
======,Scene 9 is aligned with chapter 5,===========,=============,9,5
10,Hey. Officer Hopps. You ready to make the world a better place? ,5,"Hey. Officer Hopps, ",,
10,TEN HUT! ,5,TEN-HUT! ,,
10,"All right, all right. Everybody sit. ",5,"All right, all right. Everybody sit, ",,
10,"I've got three items on the docket. First... we need to acknowledge the elephant in the room. (nods to ELEPHANT) Francine, happy birthday. ",5,"I've got three items on the docket. First, we need to acknowledge the elephant in the room.",,
10,"Number two: There are some new recruits with us I should introduce. But I'm not going to, because I don't care. Finally... ",5,"Number two:there are some new recruits￼ with us I should introduce. But I'm not going to, because I don't care.",,
10,"...We have 14 missing mammal cases. All predators, from a giant polar bear, to a teensy little otter. And City Hall is right up my tail to find them. This is priority number one. Assignments! ",14,"And I'm on the Emmitt Otterton case. My evidence puts him in your car, so intimidate me all you want; I'm going to find out what you did to that otter if it's the last thing I do.",,
10,"Officers Grizzoli, Fangmeyer, Delgato-- your teams take Missing Mammals from the Rainforest District. Officers McHorn, Rhinowitz, Wolfard, your teams take Sahara Square. Officers Higgins, Snarlov, Trunkaby: Tundratown. And finally, our first bunny, Officer Hopps. ",5,"Officers Grizzoli, Fangmeyer, Delgato:your teams take missing mammals from the Rainforest District. Officers McHorn, Rhinowitz, Wolfard: your teams take Sahara Square. Officers Higgins, Snarlov, Trunkaby:Tundratown. And finally, our first bunny, Officer Hopps.",,
10,Parking Duty. Dismissed! ,5,Parking duty. Dismissed! ,,
10,"Parking duty? (runs after Bogo) Uh, Chief? Chief Bogo? ",5,Parking duty? ,,
10,"Sir, you said there were 14 missing mammal cases? ",5,"Sir, you said there are fourteen missing mammal cases.",,
10,So. ,5,So? ,,
10,"So I can handle one. You probably forgot, but I was top of my class at the academy. ",5,"So I can handle one. You probably forgot, but I was top of my class at the academy.",,
10,Didn't forget. Just don't care. ,5,Didn't forget. Just don't care.,,
10,"Sir, I'm not just some ""token"" bunny. ",5,"Sir, I'm not just some token￼ bunny.",,
10,"Well, then writing a hundred tickets a day should be easy. ",5,"Well, then writing a hundred tickets a day should be easy, ",,
10,100 tickets...? I'm not gonna write 100 tickets... I'm gonna write 200 tickets! ,2,"That Gideon Grey doesn't know what he's talking about, ",,
10,20,2,Ow! ,,
10,"(then, to the closed door) Before noon! ",1,"Blood, blood, blood! ",,
======,Scene 10 is aligned with chapter 5,===========,=============,10,5
11,Boom! 200 tickets before noon. ,5,"A hundred tickets, ",,
11,201,2,Hey! ,,
11,"Hey, watch where you're going, Fox! ",9,"Bless you, bless you, little bunny! ",,
11,(sotto) Where'd he go... ,12,"Hang in there, ",,
======,Scene 11 is aligned with chapter 9,===========,=============,11,9
12,"Listen, I don't know what you're doing skulking around during daylight hours, but I don't want any trouble in here... So hit the road. ",6,"Listen, I don't know what you're doing skulking￼ around during daylight hours, but I don't want any trouble here. So hit the road￼! ",,
12,"I'm not looking for any trouble either, sir. I simply want to buy a Jumbo Pop for my little boy. ",6,"I'm not looking for any trouble either, sir, I simply want to buy a Jumbo-pop￼, ",,
12,"(to the boy) You want the red or the blue, pal? ",4,"Don't expect us to apologize for it, ",,
12,(disgusted with herself) I'm such a... ,1,Jude? Where the heck did she go? ,,
12,"Oh come on, kid. Back up. Listen, buddy, what? There aren't any fox ice cream joints in your part of town? ",15,"Absolutely. Whole ride over here we're sitting there going, night howler this, night howler that. Tell him.",,
12,"Uh, no no, there are. There are. It's just, my boy-- (tousles boy's hair) --this goofy little stinker-- he loves all things elephant. Wants to be one when he grows up. ",20,"You wanna look smart, answer their questions with your own rhetorical￼ questions. Then answer that question. Okay like this, ‘Was this a tough case? Yes. Yes, it was.' ",,
12,"Isn't it adorable? Who the heck am I to crush his little dreams, huh? Right? ",24,I stole them night howlers because I could sell them for a lot of dough￼.,,
12,"Look, you probably can't read, fox but the sign says... ",6,"Look, you probably can't read, fox, but the sign says",,
12,22,2,Ow! ,,
12,"(slowly reads SIGN, belittling) ",15,Whoa. A teensy otter… did that? ,,
12,SERVICE TO ANYONE. So beat it. ,18,You can't touch that! Stop it! ,,
12,You're holding up the line. ,6,"You're holding up the line, ",,
12,Hello? Excuse me? ,6,Hello? Excuse me? ,,
12,"Hey, you're gonna have to wait your turn like everyone else, metermaid. ",1,Because I'm gonna make the world a better place.,,
12,Actually... (revealing badge) I'm an officer. Just had a quick question. Are your customers aware they're getting snot and mucous with their cookies and cream? ,11,"Yep, Ol' Emmitt. Haven't seen him in a couple weeks. But hey, you should talk to his yoga instructor. I'd be happy to take you back.",,
12,What are you talkin' about? ,6,What are you talking about? ,,
12,"Well, I don't wanna cause you any trouble, but I believe scooping ice cream with an un-gloved trunk is a Class 3 Health Code Violation... ",1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",,
12,"...Which is kind of a big deal. Of course-- I could let you off with a warning if you were to glove those trunks and, I don't know, finish selling this nice dad and his son a... what was it? ",2,"Come get 'em. But watch out, 'cause I'm a fox. And like you said in your dumb little stage play, we predators used to eat prey. And that killer instinct￼ is still in our Dunnahh.",,
12,A Jumbo Pop. Please. ,6,"A Jumbo-pop, ",,
12,A Jumbo Pop. ,6,"A Jumbo-pop, ",,
12,"(stews for a beat, then) Fifteen dollars. ",2,"Oh, you don't know when to quit, do you? ",,
12,"Thank you so much. (to Hopps) Thank you. (then, digs for wallet) Oh no, are you kidding me? I don't have my wallet. I'd lose my head if it weren't attached to my neck, that's the truth. Oh boy, I'm sorry pal. Gotta be about the worst birthday ever. Please don't be mad at me. (kisses him, to Hopps) Thanks, anyway. ",21,"The Zootopia I know is better than this. We don't just blindly assign blame. We don't know why these attacks keep happening, but it is irresponsible to label all predators as savages. We cannot let fear divide us. Please give me back the Zootopia I love.",,
12,Keep the change. ,6,"Keep the change, ",,
======,Scene 12 is aligned with chapter 6,===========,=============,12,6
13,"Officer, I can't thank you enough. So kind, really, can I pay you back? ",6,"Officer, I can't thank you enough, ",,
13,"Oh no, my treat-- it just-- y'know, it burns me up to see folks with such backward attitudes toward foxes. I just wanna say, you're a great dad and just a... a real articulate fella. ",6,"Oh no, my treat. It just—you know, it burns me up￼ to see folks with such backward attitudes toward foxes, ",,
13,"Ah, well, that is high praise. It's rare that I find someone so non- patronizing... Officer... ",6,"Ah, well, that is high praise. It's rare that I find someone so non-patronizing… Officer…",,
13,(totally misses his dig) Hopps. Mr... ,3,"Congratulations, Officer Hopps.",,
13,Wilde. Nick Wilde. ,6,Wilde. Nick Wilde.,,
13,"(to Toddler) And you little guy, you want to be an elephant when you grow up... you be an elephant-- because this is Zootopia, anyone can be anything. ",10,"you reported, let me see here, zero. Unfortunately, lying on a federal form is a punishable offense. Five years jail time.",,
13,"Ah, boy, I tell him that all the time. All right here ya go-- (hands him popsicle) Two paws. Yeah. Oh, look at that smile, that's a happy birthday smile! All right, give her a little bye-bye toot toot. ",6,"And you, little guy, you want to be an elephant when you grow up… you be an elephant—because this is Zootopia, and anyone can be anything.",,
13,"Toot, toot! ",6,Toot-toot! ,,
13,Bye now! ,9,Not now! ,,
13,Goodbye! ,9,Not now! ,,
======,Scene 13 is aligned with chapter 6,===========,=============,13,6
14,"Oh! Hey, little toot toot-- ",7,"Oh! Hey, little toot-toot! ",,
======,Scene 14 is aligned with chapter 7,===========,=============,14,7
16,Pawpsicles! Get your pawpsicles! ,7,Pawpsicles! Get your pawpsicles! ,,
======,Scene 16 is aligned with chapter 7,===========,=============,16,7
17,Lumber delivery! ,7,Lumber delivery! ,,
17,What's with the color? ,7,What's with the color? ,,
17,The color? Uh... It's redwood. ,7,"The color? It's red wood, ",,
======,Scene 17 is aligned with chapter 7,===========,=============,17,7
18,"39...40. There you go. Way to work that diaper, big guy. Hey, no kiss bye-bye for daddy? ",13,"It does. One hundred percent. Now… since you're sans warrant, I guess we're done? ",,
18,"(super-deep voice) You kiss me tomorrow, I'll bite your face off. Ciao. ",26,"Oh, are you looking for the serum? Well, it's right here.",,
18,"Well. I stood up for you, and you lied to me. You liar! ",9,"Well, I'd say the case is in good hands! ",,
18,"It's called a hustle, sweetheart. And I'm not the liar, he is. ",10,"It's called a hustle, sweetheart.",,
18,Hey! ,2,Hey! ,,
18,"Alright, slick Nick, you're under arrest. ",19,"Quit it, Gary. You're gonna start a howl.",,
18,"Really, for what? ",7,"Really, for what? ",,
18,"Gee I don't know, how `bout selling food without a permit, transporting undeclared commerce across borough lines, false advertising... ",11,"Well, I had a ball. You are welcome for the clue. And seeing as how any moron￼ can run a plate, I'll take that pen and bid you adieu.",,
18,Permit. Receipt of declared commerce. And I didn't falsely advertise anything. Take care. ,3,"Really, it's a proud-scared combo￼. I mean, Zootopia. It's so far away and such a big city.",,
18,You told that mouse the popsicle sticks were redwood! ,7,"You told that mouse the pawpsicle sticks were redwood, ",,
18,"That's right. ""Red wood."" With a space in the middle. Wood that is red. (then) You can't touch me, Carrots, I been doing this since I was born. ",6,"Listen, I don't know what you're doing skulking￼ around during daylight hours, but I don't want any trouble here. So hit the road￼! ",,
18,You're gonna wanna refrain from calling me Carrots... ,7,You're gonna want to refrain from calling me Carrots.,,
18,"My bad. I just naturally assumed you came from some little carrot- choked podunk, no? ",14,"No, no, no! If you're mad at me about the rug, I've got more rugs! ",,
18,"(isn't it obvious?) Ah, no. Podunk is in Deerbrooke County, and I grew up in Bunnyburrow. ",16,"Buddy, one predator to another, if I offended you with the tuna thing, I meant no disrespe—",,
18,"Okay. Tell me if this story sounds familiar: (harsher now, rapidly) Naأ¯ve little hick with good grades and big ideas decides, ""Hey lookit me, I'm gonna move to Zootopia-- where Predators and Prey live in harmony and sing Kumbaya!"" Only to find-- whoopsie, we don't all get along. And that dream of becoming a big city cop? Double whoopsie! She's a meter maid. And whoopsie number threesie-- NO ONE cares about her or her dreams. And soon enough those dreams die and our bunny sinks into emotional and literal squalor living in a box under a bridge. Til finally she has no choice but to go back home with that cute, fuzzy wuzzy little tail between her legs to become-- you're from Bunnyburrow, is that what you said?-- so how `bout a carrot farmer... That sound about right? ",7,Okay. Tell me if this story sounds familiar.,,
18,"Be careful now, it won't just be your dreams getting crushed. ",7,"Be careful now, ",,
18,(ever-so-slightly rattled) Hey! Hey! No one tells me what I can or can't be! Especially not some jerk who never had the guts to try to be anything more than a popsicle hustler! ,7,"Naïve little hick￼ with good grades and big ideas decides, ‘Hey, look at me, I'm gonna move to Zootopia, where predators and prey live in harmony and sing “Kumbaya",,
18,"Alright look, everyone comes to Zootopia thinking they can be anything they want. Well you can't. You can only be what you are. (points to himself) Sly fox. ",26,And I'll dart every predator in Zootopia to keep it that way.,,
18,28,2,Ow! ,,
18,(points to her) Dumb bunny. ,6,"All right, here you go—",,
18,I am NOT a dumb bunny. ,7,I am not a dumb bunny.,,
18,Right. And that's not wet cement. ,7,Right. And that's not wet cement.,,
18,(as he goes) You'll never be a real cop. You're a cute meter maid though. Maybe a supervisor one day. Hang in there... ,1,"Or… heck, you wanna talk about making the world a better place—no better way to do it than becoming a carrot farmer, ",,
======,Scene 18 is aligned with chapter 7,===========,=============,18,7
19,"Oh hey, it's my parents! ",1,"Oh yes, ",,
19,Aw there she is! Hi sweetheart! ,2,"Aw jeez, that looks bad, ",,
19,"Hey there, Jude the Dude! How was your first day on the force? ",8,"Hey there, Jude the Dude! How was your first day on the force? ",,
19,It was real great. ,8,"It was real great, ",,
19,Yeah? Everything you ever hoped? ,8,Yeah? Everything you ever hoped? ,,
19,Mmm. Absolutely. And more. Everyone's so nice. And I feel like I'm really making a difference-- ,10,"She hustled you. She hustled you good. You're a cop now, Nick; you're gonna need one of these! ",,
19,"(pops head into frame) Hey, wait a second. Holy cripes, Bonnie! Look at that! ",16,"I can tell you're tense, so I'm just gonna give you a little personal space, ",,
19,"(a discovery) Oh my sweet heaven-- Judy, are you a meter maid? ",8,"Hey there, Jude the Dude! How was your first day on the force? ",,
19,"(panicked) Oh this? No! Oh, no no! This is just a temporary thing-- ",23,I really am just a dumb bunny. I really am just a dumb bunny.,,
19,It's the safest job on the force! ,8,It's the safest job on the force! ,,
19,"Ah, she's not a real cop! Our prayers have been answered! ",7,And I did not falsely advertise anything. Take care.,,
19,Glorious day! ,8,Glorious day! ,,
19,"Meter maid, meter maid! ",8,Meter maid! Meter maid! Meter maid! ,,
19,Dad! Dad-- ,8,Dad. Dad! ,,
19,"Meter maid, meter maid! ",8,Meter maid! Meter maid! Meter maid! ,,
19,"DAD! You know what-- it's been a really long day, I should really-- ",23,I really am just a dumb bunny. I really am just a dumb bunny.,,
19,That's right. You get some rest! ,8,That's right. You get some rest! ,,
19,Those meters aren't gonna maid themselves. ,17,The traffic cameras would have caught it! ,,
19,Bye bye! ,2,"Baa-baa, ",,
19,(eye roll) Buh-bye. ,25,"Hey, Doug, open up, ",,
19,Hey Bunny! Turn down that depressing music! ,17,You are so much more than that.,,
19,Leave the meter maid alone! Didn't you hear her conversation? She feels like a failure! ,8,Leave the meter maid alone! ,,
19,"Oh, shut up! ",4,You shut up! ,,
19,You shut up! ,4,You shut up! ,,
19,You shut up! ,4,You shut up! ,,
19,(quietly to herself) Tomorrow's another day... ,11,"I just remembered, I have a pal at the DMV.",,
19,"Yeah, but it might be worse! ",8,"Yeah, but it might be worse! ",,
======,Scene 19 is aligned with chapter 8,===========,=============,19,8
20,I was 30 seconds over! ,20,I did it for the city! ,,
20,"Ugh! Yeah you're a real hero, lady! ",8,Meter maid! Meter maid! Meter maid! ,,
